Address,Price,Beds,Baths,Sqft
"1740 N Maplewood Ave APT 210, Chicago, IL 60647Sold",290000,2,2,"1,100"
"1834 N Rockwell St PH F, Chicago, IL 60647Sold",799000,4,3,"2,000"
"2021 N Kedzie Ave APT 5C, Chicago, IL 60647Sold",389000,2,2,"1,252"
"2065 N Kedzie Ave APT 103, Chicago, IL 60647Sold",380000,3,2,"1,400"
"1801 N Talman Ave, Chicago, IL 60647Sold",815000,4,5,"3,630"
"2920 W North Ave, Chicago, IL 60647Sold",285000,1,1,"1,100"
"2808 W North Ave UNIT 3W, Chicago, IL 60647Sold",455000,3,3,"2,100"
"1740 N Maplewood Ave APT 210, Chicago, IL 60647Sold",290000,1,1,900
"2021 N Kedzie Ave APT 5D, Chicago, IL 60647Sold",366000,2,2,"1,350"
"2019 N Whipple St APT 1, Chicago, IL 60647Sold",590000,4,3,"2,600"
"2021 N Kedzie Ave APT 5D, Chicago, IL 60647Sold",330000,2,2,"1,350"
"2730 W Armitage Ave # 2W, Chicago, IL 60647Sold",525000,3,2,"1,700"
"1812 N Rockwell St UNIT F, Chicago, IL 60647Sold",555000,5,3,"2,659"
"1811 N California Ave APT 1-W, Chicago, IL 60647Sold",505000,3,3,"2,000"
"1740 N Maplewood Ave APT 118, Chicago, IL 60647Sold",375000,2,2,"1,400"
"2730 W Armitage Ave # 2E, Chicago, IL 60647Sold",530000,3,2,"1,700"
"2730 W Armitage Ave # 4E, Chicago, IL 60647Sold",595000,3,2,"1,750"
"1740 N Maplewood Ave APT 305, Chicago, IL 60647Sold",358000,2,2,"1,200"
"2062 N Bingham St, Chicago, IL 60647Sold",915000,4,4,"1,560"
"1812 N Sawyer Ave # 1F, Chicago, IL 60647Sold",449000,3,3,"1,900"
"2060 N Stave St # 2, Chicago, IL 60647Sold",647500,4,3,"1,928"
"1861 N Albany Ave, Chicago, IL 60647Sold",729000,4,4,"2,700"
"1748 N Talman Ave, Chicago, IL 60647Sold",450000,2,2,931
"3217 W Cortland St, Chicago, IL 60647Sold",400000,2,2,"1,349"
"1857 N Sawyer Ave # A, Chicago, IL 60647Sold",400000,2,2,"1,625"
"2720 W Cortland St APT 205, Chicago, IL 60647Sold",290000,2,2,950
"1707 N Troy St, Chicago, IL 60647Sold",542000,4,3,"3,000"
"1909 N Richmond St, Chicago, IL 60647Sold",280000,3,1,"1,620"
"1740 N Maplewood Ave APT 416, Chicago, IL 60647Sold",286000,1,1,"1,000"
"1720 N Kedzie Ave APT J, Chicago, IL 60647Sold",235000,3,3,"1,114"
"1726 N Kedzie Ave APT F, Chicago, IL 60647Sold",198000,3,3,"1,114"
"1803 N Talman Ave, Chicago, IL 60647Sold",700000,4,3,"3,815"
"3020 W Bloomingdale Ave, Chicago, IL 60647Sold",476000,2,3,"2,263"
"1740 N Maplewood Ave APT 205, Chicago, IL 60647Sold",382500,2,2,"1,100"
"2781 W Henry Ct, Chicago, IL 60647Sold",825000,3,4,"2,400"
"1740 N Maplewood Ave APT 404, Chicago, IL 60647Sold",410000,2,2,"1,200"
