home_team,home_model_points,away_team,away_model_points,vegas_spread,vegas_over_under,model_over_under,model_spread,spread_difference,abs_difference,OU_Prediction,Model_Pick,Model_SU_Pick,actual_home,actual_away,actual_winner,spread_winner,OU_winner,home_residual,away_residual,abs_home_residual,abs_away_residual,spread_result,OU_result,SU_result,Week
Tennessee,40.30990929,Ole Miss,37.47824009,3,80,77.78814938,-2.831669205,-5.831669205,5.831669205,Under,Tennessee,Tennessee,26,31,Ole Miss,Ole Miss,Under,-14.30990929,-6.478240089,14.30990929,6.478240089,Loss,Win,Loss,7
Oregon,32.73545846,California,13.66038759,-13.5,54.5,46.39584605,-19.07507087,-5.575070867,5.575070867,Under,Oregon,Oregon,24,17,Oregon,California,Under,-8.735458461,3.339612406,8.735458461,3.339612406,Loss,Win,Win,7
Northern Illinois,28.07665012,Bowling Green State,14.1165213,-9,47,42.19317143,-13.96012882,-4.96012882,4.96012882,Under,Northern Illinois,Northern Illinois,34,26,Northern Illinois,Bowling Green State,Over,5.923349876,11.8834787,5.923349876,11.8834787,Loss,Loss,Win,7
Miami (OH),34.44808456,Akron,10.24218824,-19.5,51.5,44.6902728,-24.20589632,-4.705896325,4.705896325,Under,Miami (OH),Miami (OH),34,21,Miami (OH),Akron,Over,-0.448084561,10.75781176,0.448084561,10.75781176,Loss,Loss,Win,7
UTSA,36.69150359,Rice,13.72011942,-18.5,54.5,50.41162301,-22.97138417,-4.471384166,4.471384166,Under,UTSA,UTSA,45,0,UTSA,UTSA,Under,8.30849641,-13.72011942,8.30849641,13.72011942,Win,Win,Win,7
Central Michigan,14.94926397,Toledo,23.86996398,4.5,51.5,38.81922796,8.920700011,4.420700011,4.420700011,Under,Toledo,Toledo,26,23,Central Michigan,Central Michigan,Under,11.05073603,-0.869963983,11.05073603,0.869963983,Loss,Win,Loss,7
Iowa,25.55993109,Purdue,9.710283706,-11.5,43.5,35.2702148,-15.84964739,-4.349647389,4.349647389,Under,Iowa,Iowa,7,24,Purdue,Purdue,Under,-18.55993109,14.28971629,18.55993109,14.28971629,Loss,Win,Loss,7
Kansas State,22.6357255,Iowa State,24.93428653,6.5,51.5,47.57001203,2.298561034,-4.201438966,4.201438966,Under,Kansas State,Iowa State,20,33,Iowa State,Iowa State,Over,-2.635725496,8.06571347,2.635725496,8.06571347,Loss,Loss,Win,7
LSU,24.12933977,Florida,29.95607055,10,58.5,54.08541031,5.826730778,-4.173269222,4.173269222,Under,LSU,Florida,49,42,LSU,LSU,Over,24.87066023,12.04392945,24.87066023,12.04392945,Win,Loss,Loss,7
Indiana,22.50845603,Michigan State,31.17319984,4.5,51.5,53.68165587,8.664743813,4.164743813,4.164743813,Over,Michigan State,Michigan State,15,20,Michigan State,Michigan State,Under,-7.508456027,-11.17319984,7.508456027,11.17319984,Win,Loss,Win,7
Cincinnati,38.67116243,UCF,21.78201726,-21,58,60.45317968,-16.88914517,4.110854833,4.110854833,Over,UCF,Cincinnati,56,21,Cincinnati,Cincinnati,Over,17.32883757,-0.782017258,17.32883757,0.782017258,Loss,Win,Win,7
Minnesota,17.85890487,Nebraska,25.31360008,4,48,43.17250495,7.454695212,3.454695212,3.454695212,Under,Nebraska,Nebraska,30,23,Minnesota,Minnesota,Over,12.14109513,-2.313600083,12.14109513,2.313600083,Loss,Loss,Loss,7
Northwestern,17.36440651,Rutgers,22.77377619,2,47.5,40.1381827,5.409369678,3.409369678,3.409369678,Under,Rutgers,Rutgers,21,7,Northwestern,Northwestern,Under,3.635593492,-15.77377619,3.635593492,15.77377619,Loss,Win,Loss,7
Syracuse,14.02506662,Clemson,24.85019515,14,45,38.87526178,10.82512853,-3.174871471,3.174871471,Under,Syracuse,Clemson,14,17,Clemson,Syracuse,Under,-0.025066624,-7.850195153,0.025066624,7.850195153,Win,Win,Win,7
Washington State,26.06641725,Stanford,25.19599392,2,51.5,51.26241116,-0.870423331,-2.870423331,2.870423331,Under,Washington State,Washington State,34,31,Washington State,Washington State,Over,7.933582754,5.804006085,7.933582754,5.804006085,Win,Loss,Win,7
Washington,23.68396479,UCLA,24.50647344,-2,53,48.19043822,0.822508654,2.822508654,2.822508654,Under,UCLA,UCLA,17,24,UCLA,UCLA,Under,-6.683964785,-0.506473439,6.683964785,0.506473439,Win,Win,Win,7
Wyoming,24.82918909,Fresno State,25.74077145,3.5,55,50.56996054,0.911582365,-2.588417635,2.588417635,Under,Wyoming,Fresno State,0,17,Fresno State,Fresno State,Under,-24.82918909,-8.740771455,24.82918909,8.740771455,Loss,Win,Win,7
Boise State,25.96371962,Air Force,23.93041993,-4.5,51,49.89413955,-2.033299686,2.466700314,2.466700314,Under,Air Force,Boise State,17,24,Air Force,Air Force,Under,-8.963719617,0.069580069,8.963719617,0.069580069,Win,Win,Loss,7
Baylor,26.97912405,Brigham Young,18.59050909,-6,50,45.56963314,-8.388614961,-2.388614961,2.388614961,Under,Baylor,Baylor,38,24,Baylor,Baylor,Over,11.02087595,5.409490913,11.02087595,5.409490913,Win,Loss,Win,7
Utah,22.3408939,Arizona State,25.52136214,1,51,47.86225603,3.180468244,2.180468244,2.180468244,Under,Arizona State,Arizona State,35,21,Utah,Utah,Over,12.6591061,-4.521362139,12.6591061,4.521362139,Loss,Loss,Loss,7
